country,region,income,source,ref_year,internet_female,internet_male,gap_diff,gap_ratio,gdp_pc_ppp,flfp,enroll_fem,internet_total,urban_pct,gii,log_gdp
Ghana,Sub-Saharan Africa,Lower middle income,Findex 2024,2024,47.7402627052488,62.360834560358406,14.62057185510961,0.7655488102719583,7072.79879594445,55.733,76.4284133911133,72.17569733,58.3654868038581,0.514,8.864011549854114
Guatemala,Latin America & Caribbean,Upper middle income,Findex 2024,2024,64.8590538043272,78.0250506157921,13.165996811464892,0.8312593621208094,12643.9841235004,38.42,50.4821609334209,60.22140121,55.9547027274763,0.48,9.444936817679896
Guinea,Sub-Saharan Africa,Lower middle income,Findex 2024,2024,25.3996134486269,36.6488695613154,11.2492561126885,0.6930531214921124,4016.34191385979,42.882,NA,33.30469894,38.0713036688655,0.609,8.298126795660833
Honduras,Latin America & Caribbean,Lower middle income,Findex 2024,2024,76.30025815111439,74.037428873683,-2.2628292774313934,1.0305633152292748,6590.84384301553,39.617,56.205606327767,58.62269974,58.7850728104829,0.437,8.79343666831499
India,South Asia,Lower middle income,Findex 2024,2024,36.3262135673183,54.973505417099,18.6472918497807,0.6607949282422759,9416.05137044735,32.415,78.7182686071249,64.9434967,35.3788972368389,0.403,9.150171104580217
Indonesia,East Asia & Pacific,Upper middle income,Findex 2024,2024,70.0734651337029,70.8486149588815,0.7751498251786018,0.9890590687534474,14470.7179806578,53.588,98.6691707526139,72.78075544,58.7509635387997,0.423,9.579882436961107
"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,Findex 2024,2024,77.820418086435,77.1432305570795,-0.6771875293554928,1.0087783143701046,17484.1320140467,14.144,86.1972427368164,85.3404007,77.0201263427734,0.482,9.769049006517884
Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,Findex 2024,2024,65.47414784071151,86.1667778585704,20.69263001785889,0.7598537332819537,12725.0431260364,11.003,NA,81.47450256,69.8861494108913,0.558,9.451327230492462
Jamaica,Latin America & Caribbean,Upper middle income,ITU,2023,92.2942,86.5903,-5.703900000000004,1.0658722743771532,11398.8120394641,63.047,85.6044566148171,89.47304282,58.4510149367429,0.358,9.3412644218881
Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,Findex 2024,2024,89.42527780449569,89.1200355180916,-0.3052422864040949,1.0034250691736106,10468.265334284,16.008,92.9268253048268,95.62244985,92.9501393764286,0.433,9.256103610509161
Kazakhstan,Europe & Central Asia,Upper middle income,Findex 2024,2024,87.71315063506509,89.126232178839,1.413081543773913,0.9841451668130832,35973.9633287017,65.291,96.7445196567945,93.39167254,62.072531584162,0.182,10.490550714904
Kenya,Sub-Saharan Africa,Lower middle income,Findex 2024,2024,49.6259372571647,71.85986222563389,22.23392496846919,0.6905932702924402,5841.59866001706,63.012,84.7505339840655,34.97622513,31.8937831721599,0.526,8.672759781515058
Kyrgyz Republic,Europe & Central Asia,Lower middle income,Findex 2024,2024,92.1697593512115,91.875855530343,-0.2939038208684934,1.003198923364272,7210.57669830499,44.256,92.5232415743903,92.0286026,34.7219977865937,0.34,8.883304212975576
Lao PDR,East Asia & Pacific,Lower middle income,Findex 2024,2024,73.3612142911848,66.9672833652822,-6.393930925902595,1.0954784277424847,8600.3245466568,61.466,50.9977217073246,65.59269714,39.5552154401406,0.475,9.059555219512887
Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Findex 2024,2024,93.3993868223083,95.0218251886465,1.6224383663382014,0.9829256240540826,10469.2210966932,22.234,67.5449829101562,80.63400269,90.703695784554,0.36,9.256194907276136
Lesotho,Sub-Saharan Africa,Lower middle income,Findex 2024,2024,47.5138163465784,43.9782665210723,-3.535549825506102,1.080393114717517,2697.62738436647,48.457,NA,51.79660034,43.6780334209246,0.534,7.900127919137414
Liberia,Sub-Saharan Africa,Low income,Findex 2024,2024,29.5571588621117,36.2766255976818,6.719466735570101,0.8147714506279906,1646.05861366601,72.021,NA,32.23360062,55.5387986654968,0.646,7.40613899036364
Libya,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,Findex 2024,2024,81.9462711051532,79.0923306268304,-2.853940478322798,1.036083656350805,12583.8338726816,33.28,NA,81.95449829,87.8854066107749,0.253,9.440168243179391
Madagascar,Sub-Saharan Africa,Low income,Findex 2024,2024,7.51848473590579,14.9051272477778,7.386642511872011,0.5044227138031792,1659.15030770194,82.915,35.2580222250234,18.67790031,32.4339893339844,0.584,7.4140608874739335
Malawi,Sub-Saharan Africa,Low income,Findex 2024,2024,17.8161939653371,23.4378384607099,5.621644495372802,0.7601466319175864,1634.24660266597,58.534,37.2564052253575,18.96159935,17.268503531213,0.581,7.398937183656944
